:START_ID,dependentSFR,:END_ID,:TYPE
FPT_RCV.1,AGD_OPE.1,AGD_OPE.1,SFR_DEPENDS
FPT_RCV.2,AGD_OPE.1,AGD_OPE.1,SFR_DEPENDS
FPT_RCV.3,AGD_OPE.1,AGD_OPE.1,SFR_DEPENDS
FAU_GEN.1,FPT_STM.1,FPT_STM.1,SFR_DEPENDS
FAU_SAA.1,FAU_GEN.1,FAU_GEN.1,SFR_DEPENDS
FAU_SAR.1,FAU_GEN.1,FAU_GEN.1,SFR_DEPENDS
FAU_STG.1,FAU_GEN.1,FAU_GEN.1,SFR_DEPENDS
FAU_STG.2,FAU_GEN.1,FAU_GEN.1,SFR_DEPENDS
FAU_ARP.1,FAU_SAA.1,FAU_SAA.1,SFR_DEPENDS
FAU_SAR.2,FAU_SAR.1,FAU_SAR.1,SFR_DEPENDS
FAU_SAR.3,FAU_SAR.1,FAU_SAR.1,SFR_DEPENDS
FAU_STG.3,FAU_STG.1,FAU_STG.1,SFR_DEPENDS
FAU_STG.4,FAU_STG.1,FAU_STG.1,SFR_DEPENDS
FCS_CKM.1,FCS_CKM.4,FCS_CKM.4,SFR_DEPENDS
FCS_CKM.2,FCS_CKM.4,FCS_CKM.4,SFR_DEPENDS
FCS_CKM.3,FCS_CKM.4,FCS_CKM.4,SFR_DEPENDS
FCS_COP.1,FCS_CKM.4,FCS_CKM.4,SFR_DEPENDS
FDP_ACC.1,FDP_ACF.1,FDP_ACF.1,SFR_DEPENDS
FDP_ACC.2,FDP_ACF.1,FDP_ACF.1,SFR_DEPENDS
FDP_IFF.3,FDP_IFC.1,FDP_IFC.1,SFR_DEPENDS
FDP_IFF.4,FDP_IFC.1,FDP_IFC.1,SFR_DEPENDS
FDP_IFF.5,FDP_IFC.1,FDP_IFC.1,SFR_DEPENDS
FDP_IFF.6,FDP_IFC.1,FDP_IFC.1,SFR_DEPENDS
FDP_IFC.1,FDP_IFF.1,FDP_IFF.1,SFR_DEPENDS
FDP_IFC.2,FDP_IFF.1,FDP_IFF.1,SFR_DEPENDS
FDP_ITT.3,FDP_ITT.1,FDP_ITT.1,SFR_DEPENDS
FDP_ITT.4,FDP_ITT.2,FDP_ITT.2,SFR_DEPENDS
FIA_USB.1,FIA_ATD.1,FIA_ATD.1,SFR_DEPENDS
FIA_AFL.1,FIA_UAU.1,FIA_UAU.1,SFR_DEPENDS
FIA_UAU.7,FIA_UAU.1,FIA_UAU.1,SFR_DEPENDS
FTA_SSL.1,FIA_UAU.1,FIA_UAU.1,SFR_DEPENDS
FTA_SSL.2,FIA_UAU.1,FIA_UAU.1,SFR_DEPENDS
FAU_SAA.2,FIA_UID.1,FIA_UID.1,SFR_DEPENDS
FCO_NRO.1,FIA_UID.1,FIA_UID.1,SFR_DEPENDS
FCO_NRO.2,FIA_UID.1,FIA_UID.1,SFR_DEPENDS
FCO_NRR.1,FIA_UID.1,FIA_UID.1,SFR_DEPENDS
FCO_NRR.2,FIA_UID.1,FIA_UID.1,SFR_DEPENDS
FDP_DAU.2,FIA_UID.1,FIA_UID.1,SFR_DEPENDS
FIA_UAU.1,FIA_UID.1,FIA_UID.1,SFR_DEPENDS
FIA_UAU.2,FIA_UID.1,FIA_UID.1,SFR_DEPENDS
FMT_SMR.1,FIA_UID.1,FIA_UID.1,SFR_DEPENDS
FMT_SMR.2,FIA_UID.1,FIA_UID.1,SFR_DEPENDS
FPR_PSE.2,FIA_UID.1,FIA_UID.1,SFR_DEPENDS
FTA_MCS.1,FIA_UID.1,FIA_UID.1,SFR_DEPENDS
FTA_MCS.2,FIA_UID.1,FIA_UID.1,SFR_DEPENDS
FPT_PHP.2,FMT_MOF.1,FMT_MOF.1,SFR_DEPENDS
FDP_ITC.1,FMT_MSA.3,FMT_MSA.3,SFR_DEPENDS
FMT_MTD.3,FMT_MTD.1,FMT_MTD.1,SFR_DEPENDS
FMT_REV.1,FMT_SMR.1,FMT_SMR.1,SFR_DEPENDS
FMT_SMR.3,FMT_SMR.1,FMT_SMR.1,SFR_DEPENDS
FPR_UNO.3,FPR_UNO.1,FPR_UNO.1,SFR_DEPENDS
FRU_FLT.1,FPT_FLS.1,FPT_FLS.1,SFR_DEPENDS
FRU_FLT.2,FPT_FLS.1,FPT_FLS.1,SFR_DEPENDS
FPT_ITT.3,FPT_ITT.1,FPT_ITT.1,SFR_DEPENDS
FPT_SSP.1,FPT_ITT.1,FPT_ITT.1,SFR_DEPENDS
FPT_SSP.2,FPT_ITT.1,FPT_ITT.1,SFR_DEPENDS
FPT_TRC.1,FPT_ITT.1,FPT_ITT.1,SFR_DEPENDS
FDP_ITC.2,FPT_TDC.1,FPT_TDC.1,SFR_DEPENDS
FAU_GEN.2,FAU_GEN.1,FAU_GEN.1,SFR_DEPENDS
FAU_GEN.2,FIA_UID.1,FIA_UID.1,SFR_DEPENDS
FAU_SEL.1,FAU_GEN.1,FAU_GEN.1,SFR_DEPENDS
FAU_SEL.1,FMT_MTD.1,FMT_MTD.1,SFR_DEPENDS
FMT_SAE.1,FMT_SMR.1,FMT_SMR.1,SFR_DEPENDS
FMT_SAE.1,FPT_STM.1,FPT_STM.1,SFR_DEPENDS
FMT_MSA.2,FMT_MSA.1,FMT_MSA.1,SFR_DEPENDS
FMT_MSA.2,FMT_SMR.1,FMT_SMR.1,SFR_DEPENDS
FMT_MSA.3,FMT_MSA.1,FMT_MSA.1,SFR_DEPENDS
FMT_MSA.3,FMT_SMR.1,FMT_SMR.1,SFR_DEPENDS
FMT_MTD.2,FMT_MTD.1,FMT_MTD.1,SFR_DEPENDS
FMT_MTD.2,FMT_SMR.1,FMT_SMR.1,SFR_DEPENDS
FMT_MOF.1,FMT_SMF.1,FMT_SMF.1,SFR_DEPENDS
FMT_MOF.1,FMT_SMR.1,FMT_SMR.1,SFR_DEPENDS
FMT_MSA.1,FMT_SMF.1,FMT_SMF.1,SFR_DEPENDS
FMT_MSA.1,FMT_SMR.1,FMT_SMR.1,SFR_DEPENDS
FMT_MTD.1,FMT_SMF.1,FMT_SMF.1,SFR_DEPENDS
FMT_MTD.1,FMT_SMR.1,FMT_SMR.1,SFR_DEPENDS
FDP_ACF.1,FDP_ACC.1,FDP_ACC.1,SFR_DEPENDS
FDP_ACF.1,FMT_MSA.3,FMT_MSA.3,SFR_DEPENDS
FDP_IFF.1,FDP_IFC.1,FDP_IFC.1,SFR_DEPENDS
FDP_IFF.1,FMT_MSA.3,FMT_MSA.3,SFR_DEPENDS
FDP_IFF.2,FDP_IFC.1,FDP_IFC.1,SFR_DEPENDS
FDP_IFF.2,FMT_MSA.3,FMT_MSA.3,SFR_DEPENDS
